Current Instance,Load Range (Max U%),Intel Recommendation,AMD Recommendation,Projected Max Util,Approx. Cost Savings (Intel/AMD),Reason (with AWS Best Practices)
m5.2xlarge,0-10%,"t3.2xlarge (switch, $0.3328/h)","t3a.2xlarge (switch, ~$0.3008/h)",~40%,~13% / ~22%,Switch to burstable family for low U.
m5.2xlarge,10-20%,m5.large ($0.096/h),m5a.large (~$0.083/h),~40-60%,~75% / ~78%,2-step standard downsize.
m5.2xlarge,20-35%,m5.xlarge ($0.192/h),m5a.xlarge (~$0.167/h),~60-70%,~50% / ~57%,1-step conservative downsize.
m5.2xlarge,35-50%,Stay m5.2xlarge ($0.384/h),"m5a.2xlarge (~$0.333/h, switch)",~50%,0% / ~13%,Stay or switch to AMD.
m5.xlarge,0-10%,"t3.xlarge (switch, $0.1664/h)","t3a.xlarge (switch, ~$0.1504/h)",~40%,~13% / ~22%,Switch to burstable family.
m5.xlarge,10-20%,m5.large ($0.096/h),m5a.large (~$0.083/h),~40-60%,~50% / ~57%,1-step standard downsize.
m5.xlarge,20-35%,m5.large ($0.096/h),m5a.large (~$0.083/h),~60-70%,~50% / ~57%,Halve size for mid-range U.
m5.xlarge,35-50%,Stay m5.xlarge ($0.192/h),"m5a.xlarge (~$0.167/h, switch)",~50%,0% / ~13%,No downsize.
m5.large,0-10%,"t3.large (switch, $0.0832/h)","t3a.large (switch, ~$0.0752/h)",~40%,~13% / ~22%,Switch to burstable family.
m5.large,10-50%,Stay m5.large ($0.096/h),"m5a.large (~$0.083/h, switch)",<70%,0% / ~13%,Smallest size; stay or switch to AMD.
--- C Series (Compute Optimized) ---,,,,,,
c5.24xlarge,0-10%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40%,~83% / ~85%,2-step downsize with CPU focus.
c5.24xlarge,10-20%,c5.9xlarge ($1.53/h),c5a.8xlarge (~$1.224/h),~45-60%,~62% / ~70%,1.3-step balanced downsize.
c5.24xlarge,20-35%,c5.12xlarge ($2.04/h),c5a.12xlarge (~$1.836/h),~60-70%,~50% / ~55%,1-step downsize based on P95 threshold.
c5.24xlarge,35-50%,Stay c5.24xlarge ($4.08/h),"c5a.24xlarge (~$3.672/h, switch)",~50%,0% / ~10%,No downsize; switch AMD for CPU perf/cost.
c5.18xlarge,0-10%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40%,~78% / ~80%,2-step aggressive downsize.
c5.18xlarge,10-20%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40-60%,~78% / ~80%,2-step standard downsize.
c5.18xlarge,20-35%,c5.9xlarge ($1.53/h),c5a.8xlarge (~$1.224/h),~60-70%,~50% / ~60%,1-step conservative downsize.
c5.18xlarge,35-50%,Stay c5.18xlarge ($3.06/h),"c5a.18xlarge (~$2.754/h, switch)",~50%,0% / ~10%,Stay or switch to AMD.
c5.12xlarge,0-10%,c5.2xlarge ($0.34/h),c5a.2xlarge (~$0.306/h),~40%,~83% / ~85%,2.5-step aggressive downsize.
c5.12xlarge,10-20%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40-60%,~67% / ~70%,1-step + adjust for standard U.
c5.12xlarge,20-35%,c5.9xlarge ($1.53/h),c5a.8xlarge (~$1.224/h),~60%,~25% / ~40%,Downsize to nearest available size.
c5.12xlarge,35-50%,Stay c5.12xlarge ($2.04/h),"c5a.12xlarge (~$1.836/h, switch)",~50%,0% / ~10%,No downsize.
c5.9xlarge,0-10%,c5.xlarge ($0.17/h),c5a.xlarge (~$0.153/h),~40%,~89% / ~90%,3-step aggressive downsize.
c5.9xlarge,10-20%,c5.2xlarge ($0.34/h),c5a.2xlarge (~$0.306/h),~40-60%,~78% / ~80%,2-step standard downsize.
c5.9xlarge,20-35%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~60-70%,~55% / ~60%,1-step conservative downsize.
c5.9xlarge,35-50%,Stay c5.9xlarge ($1.53/h),"c5a.9xlarge (~$1.377/h, switch)",~50%,0% / ~10%,Stay or switch to AMD.
c5.4xlarge,0-10%,c5.large ($0.085/h),c5a.large (~$0.076/h),~40%,~87% / ~89%,3-step aggressive downsize.
c5.4xlarge,10-20%,c5.xlarge ($0.17/h),c5a.xlarge (~$0.153/h),~40-60%,~75% / ~78%,2-step standard downsize.
c5.4xlarge,20-35%,c5.2xlarge ($0.34/h),c5a.2xlarge (~$0.306/h),~60-70%,~50% / ~55%,1-step conservative downsize.
c5.4xlarge,35-50%,Stay c5.4xlarge ($0.68/h),"c5a.4xlarge (~$0.612/h, switch)",~50%,0% / ~10%,No downsize.
c5.2xlarge,0-10%,"m5.2xlarge (switch, $0.384/h)","m5a.2xlarge (switch, ~$0.333/h)",~40%,~ -13% / ~2%,Switch to general purpose for low U balance.
c5.2xlarge,10-20%,c5.large ($0.085/h),c5a.large (~$0.076/h),~40-60%,~75% / ~78%,2-step standard downsize.
c5.2xlarge,20-35%,c5.xlarge ($0.17/h),c5a.xlarge (~$0.153/h),~60-70%,~50% / ~55%,1-step conservative downsize.
c5.2xlarge,35-50%,Stay c5.2xlarge ($0.34/h),"c5a.2xlarge (~$0.306/h, switch)",~50%,0% / ~10%,Stay or switch to AMD.
c5.xlarge,0-10%,"m5.xlarge (switch, $0.192/h)","m5a.xlarge (switch, ~$0.167/h)",~40%,~ -13% / ~2%,Switch to general purpose.
c5.xlarge,10-20%,c5.large ($0.085/h),c5a.large (~$0.076/h),~40-60%,~50% / ~55%,1-step standard downsize.
c5.xlarge,20-35%,c5.large ($0.085/h),c5a.large (~$0.076/h),~60-70%,~50% / ~55%,Halve size for mid-range U.
c5.xlarge,35-50%,Stay c5.xlarge ($0.17/h),"c5a.xlarge (~$0.153/h, switch)",~50%,0% / ~10%,No downsize.
c5.large,0-10%,"m5.large (switch, $0.096/h)","m5a.large (switch, ~$0.083/h)",~40%,~ -13% / ~2%,Switch to general purpose.
c5.large,10-50%,Stay c5.large ($0.085/h),"c5a.large (~$0.076/h, switch)",<70%,0% / ~10%,Smallest size; stay or switch to AMD.
--- R Series (Memory Optimized) ---,,,,,,
r5.24xlarge,0-10%,r5.4xlarge ($1.008/h),r5a.4xlarge (~$0.907/h),~40%,~83% / ~85%,2-step downsize with memory focus.
r5.24xlarge,10-20%,r5.8xlarge ($2.016/h),r5a.8xlarge (~$1.815/h),~40-60%,~67% / ~70%,1.5-step standard downsize.
r5.24xlarge,20-35%,r5.12xlarge ($3.024/h),r5a.12xlarge (~$2.722/h),~60-70%,~50% / ~55%,1-step downsize; monitor memory peaks.
r5.24xlarge,35-50%,Stay r5.24xlarge ($6.048/h),"r5a.24xlarge (~$5.443/h, switch)",~50%,0% / ~10%,No downsize; switch AMD for mem efficiency.
r5.16xlarge,0-10%,r5.2xlarge ($0.504/h),r5a.2xlarge (~$0.454/h),~40%,~87% / ~89%,3-step aggressive downsize.
r5.16xlarge,10-20%,r5.4xlarge ($1.008/h),r5a.4xlarge (~$0.907/h),~40-60%,~75% / ~78%,2-step standard downsize.
r5.16xlarge,20-35%,r5.8xlarge ($2.016/h),r5a.8xlarge (~$1.815/h),~60-70%,~50% / ~55%,1-step conservative downsize.
r5.16xlarge,35-50%,Stay r5.16xlarge ($4.032/h),"r5a.16xlarge (~$3.629/h, switch)",~50%,0% / ~10%,Stay or switch to AMD.
r5.12xlarge,0-10%,r5.2xlarge ($0.504/h),r5a.2xlarge (~$0.454/h),~40%,~83% / ~85%,2.5-step aggressive downsize.
r5.12xlarge,10-20%,r5.4xlarge ($1.008/h),r5a.4xlarge (~$0.907/h),~40-60%,~67% / ~70%,1.5-step standard downsize.
r5.12xlarge,20-35%,r5.8xlarge ($2.016/h),r5a.8xlarge (~$1.815/h),~60%,~33% / ~40%,Downsize to nearest half size.
r5.12xlarge,35-50%,Stay r5.12xlarge ($3.024/h),"r5a.12xlarge (~$2.722/h, switch)",~50%,0% / ~10%,No downsize.
r5.8xlarge,0-10%,r5.xlarge ($0.252/h),r5a.xlarge (~$0.227/h),~40%,~87% / ~89%,3-step aggressive downsize.
r5.8xlarge,10-20%,r5.2xlarge ($0.504/h),r5a.2xlarge (~$0.454/h),~40-60%,~75% / ~78%,2-step standard downsize.
r5.8xlarge,20-35%,r5.4xlarge ($1.008/h),r5a.4xlarge (~$0.907/h),~60-70%,~50% / ~55%,1-step conservative downsize.
r5.8xlarge,35-50%,Stay r5.8xlarge ($2.016/h),"r5a.8xlarge (~$1.815/h, switch)",~50%,0% / ~10%,Stay or switch to AMD.
r5.4xlarge,0-10%,r5.large ($0.126/h),r5a.large (~$0.114/h),~40%,~87% / ~89%,3-step aggressive downsize.
r5.4xlarge,10-20%,r5.xlarge ($0.252/h),r5a.xlarge (~$0.227/h),~40-60%,~75% / ~78%,2-step standard downsize.
r5.4xlarge,20-35%,r5.2xlarge ($0.504/h),r5a.2xlarge (~$0.454/h),~60-70%,~50% / ~55%,1-step conservative downsize.
r5.4xlarge,35-50%,Stay r5.4xlarge ($1.008/h),"r5a.4xlarge (~$0.907/h, switch)",~50%,0% / ~10%,No downsize.
r5.2xlarge,0-10%,"m5.2xlarge (switch, $0.384/h)","m5a.2xlarge (switch, ~$0.333/h)",~40%,~24% / ~34%,Switch to general purpose for low U balance.
r5.2xlarge,10-20%,r5.large ($0.126/h),r5a.large (~$0.114/h),~40-60%,~75% / ~78%,2-step standard downsize.
r5.2xlarge,20-35%,r5.xlarge ($0.252/h),r5a.xlarge (~$0.227/h),~60-70%,~50% / ~55%,1-step conservative downsize.
r5.2xlarge,35-50%,Stay r5.2xlarge ($0.504/h),"r5a.2xlarge (~$0.454/h, switch)",~50%,0% / ~10%,Stay or switch to AMD.
r5.xlarge,0-10%,"m5.xlarge (switch, $0.192/h)","m5a.xlarge (switch, ~$0.167/h)",~40%,~24% / ~34%,Switch to general purpose.
r5.xlarge,10-20%,r5.large ($0.126/h),r5a.large (~$0.114/h),~40-60%,~50% / ~55%,1-step standard downsize.
r5.xlarge,20-35%,r5.large ($0.126/h),r5a.large (~$0.114/h),~60-70%,~50% / ~55%,Halve size for mid-range U.
r5.xlarge,35-50%,Stay r5.xlarge ($0.252/h),"r5a.xlarge (~$0.227/h, switch)",~50%,0% / ~10%,No downsize.
r5.large,0-10%,"m5.large (switch, $0.096/h)","m5a.large (switch, ~$0.083/h)",~40%,~24% / ~34%,Switch to general purpose.
r5.large,10-50%,Stay r5.large ($0.126/h),"r5a.large (~$0.114/h, switch)",<70%,0% / ~10%,Smallest size; stay or switch to AMD.
T Series (Burstable Performance) - T3/T3a Small Sizes,,,,,,
t3.small,0-10%,t3.micro ($0.0104/h),t3a.micro (~$0.0094/h),~40%,~50% / ~55%,"1-step downsize; aggressive for low U, baseline credits ensure <70% with 20-30% headroom."
t3.small,10-20%,t3.micro ($0.0104/h),t3a.micro (~$0.0094/h),~40-60%,~50% / ~55%,"1-step standard downsize for <40% U, Balanced preset."
t3.small,20-35%,Stay t3.small ($0.0208/h),"t3a.small (~$0.0188/h, switch)",~60-70%,0% / ~10%,"Minimal for mid U; switch AMD for savings, P95 threshold."
t3.small,35-50%,Stay t3.small ($0.0208/h),"t3a.small (~$0.0188/h, switch)",~50%,0% / ~10%,No downsize for critical range; AMD switch.
t3.micro,0-10%,t3.nano ($0.0052/h),t3a.nano (~$0.0047/h),~40%,~50% / ~50%,1-step aggressive downsize for very low U.
t3.micro,10-50%,Stay t3.micro ($0.0104/h),"t3a.micro (~$0.0094/h, switch)",<70%,0% / ~10%,Smallest viable size; stay or switch AMD for savings.
t3.nano,0-50%,Stay t3.nano ($0.0052/h),"t3a.nano (~$0.0047/h, switch)",<70%,0% / ~10%,Minimal size; stay or switch AMD.
"T2 Series (Older Burstable, Intel Only)",,,,,,
t2.small,0-10%,t3.micro ($0.0104/h),t3a.micro (~$0.0094/h),~40%,~55% / ~60%,"Switch to T3/T3a for better perf, aggressive downsize for low U."
t2.small,10-20%,t3.small ($0.0208/h),t3a.small (~$0.0188/h),~40-60%,~10% / ~19%,"Switch to T3/T3a for standard <40% U, Balanced preset."
t2.small,20-35%,Stay t2.small ($0.023/h),"t3a.small (~$0.0188/h, switch)",~60-70%,0% / ~18%,Minimal downsize; switch to T3a for perf/savings.
t2.small,35-50%,Stay t2.small ($0.023/h),"t3a.small (~$0.0188/h, switch)",~50%,0% / ~18%,No downsize for critical; T3a switch for savings.
t2.medium,0-10%,t3.small ($0.0208/h),t3a.small (~$0.0188/h),~40%,~55% / ~60%,Downsize + switch to T3/T3a for low U savings.
t2.medium,10-20%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~40-60%,~10% / ~19%,Switch to T3/T3a for standard perf.
t2.medium,20-35%,Stay t2.medium ($0.0464/h),"t3a.medium (~$0.0376/h, switch)",~60-70%,0% / ~19%,Minimal; T3a for better perf/savings.
t2.medium,35-50%,Stay t2.medium ($0.0464/h),"t3a.medium (~$0.0376/h, switch)",~50%,0% / ~19%,No downsize; T3a switch.
t2.large,0-10%,t3.medium ($0.0416/h),t3a.medium (~$0.0376/h),~40%,~55% / ~60%,Downsize + switch to T3/T3a for low U.
t2.large,10-20%,t3.large ($0.0832/h),t3a.large (~$0.0752/h),~40-60%,~10% / ~19%,Switch to T3/T3a for standard <40% U.
t2.large,20-35%,Stay t2.large ($0.0928/h),"t3a.large (~$0.0752/h, switch)",~60-70%,0% / ~19%,Minimal; T3a switch for perf.
t2.large,35-50%,Stay t2.large ($0.0928/h),"t3a.large (~$0.0752/h, switch)",~50%,0% / ~19%,No downsize; T3a switch.
"T2a Series (Older Burstable, AMD)",,,,,,
t2a.small,0-10%,t3a.micro (~$0.0094/h),t3a.micro (~$0.0094/h),~40%,~55% / ~55%,"Switch to T3a for better perf, aggressive downsize."
t2a.small,10-20%,t3a.small (~$0.0188/h),t3a.small (~$0.0188/h),~40-60%,~10% / ~10%,Switch to T3a for standard perf.
t2a.small,20-35%,Stay t2a.small ($0.0207/h),"t3a.small (~$0.0188/h, switch)",~60-70%,0% / ~9%,Minimal; T3a switch for perf.
t2a.small,35-50%,Stay t2a.small ($0.0207/h),Stay t2a.small (~$0.0207/h),~50%,0% / 0%,Stay for critical range.
t2a.medium,0-10%,t3a.small (~$0.0188/h),t3a.small (~$0.0188/h),~40%,~55% / ~55%,Downsize + stay T3a for low U.
t2a.medium,10-20%,t3a.medium (~$0.0376/h),t3a.medium (~$0.0376/h),~40-60%,~10% / ~10%,Switch to T3a standard.
t2a.medium,20-35%,Stay t2a.medium ($0.0418/h),"t3a.medium (~$0.0376/h, switch)",~60-70%,0% / ~10%,Minimal; T3a switch.
t2a.medium,35-50%,Stay t2a.medium ($0.0418/h),Stay t2a.medium (~$0.0418/h),~50%,0% / 0%,Stay for critical.
t2a.large,0-10%,t3a.medium (~$0.0376/h),t3a.medium (~$0.0376/h),~40%,~55% / ~55%,Downsize + stay T3a.
t2a.large,10-20%,t3a.large (~$0.0752/h),t3a.large (~$0.0752/h),~40-60%,~10% / ~10%,Switch to T3a standard.
t2a.large,20-35%,Stay t2a.large ($0.0835/h),"t3a.large (~$0.0752/h, switch)",~60-70%,0% / ~10%,Minimal; T3a switch.
t2a.large,35-50%,Stay t2a.large ($0.0835/h),Stay t2a.large (~$0.0835/h),~50%,0% / 0%,Stay for critical.
C Series (Compute Optimized) - C7i/C7a,,,,,,
c7i.large,0-10%,c5.large ($0.085/h),c5a.large (~$0.076/h),~40%,0% / ~11%,"Switch to C5/C5a for low U savings, aggressive downsize."
c7i.large,10-20%,Stay c7i.large ($0.085/h est.),"c7a.large (~$0.0765/h, switch)",~40-60%,0% / ~10%,Stay or switch AMD for standard <40% U.
c7i.large,20-35%,Stay c7i.large ($0.085/h),"c7a.large (~$0.0765/h, switch)",~60-70%,0% / ~10%,"Minimal for mid U; AMD switch, Balanced preset."
c7i.large,35-50%,Stay c7i.large ($0.085/h),"c7a.large (~$0.0765/h, switch)",~50%,0% / ~10%,No downsize for critical; AMD switch.
c7i.xlarge,0-10%,c5.large ($0.085/h),c5a.large (~$0.076/h),~40%,~50% / ~55%,Downsize to C5/C5a for low U.
c7i.xlarge,10-20%,c5.xlarge ($0.17/h),c5a.xlarge (~$0.153/h),~40-60%,~50% / ~55%,Standard downsize to C5/C5a.
c7i.xlarge,20-35%,Stay c7i.xlarge ($0.17/h est.),"c7a.xlarge (~$0.153/h, switch)",~60-70%,0% / ~10%,Minimal; stay or AMD switch.
c7i.xlarge,35-50%,Stay c7i.xlarge ($0.17/h),"c7a.xlarge (~$0.153/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
c7i.2xlarge,0-10%,c5.xlarge ($0.17/h),c5a.xlarge (~$0.153/h),~40%,~50% / ~55%,Downsize to C5/C5a for low U.
c7i.2xlarge,10-20%,c5.2xlarge ($0.34/h),c5a.2xlarge (~$0.306/h),~40-60%,~50% / ~55%,Standard downsize to C5/C5a.
c7i.2xlarge,20-35%,c7i.xlarge ($0.17/h),c7a.xlarge (~$0.153/h),~60-70%,~50% / ~55%,"1-step downsize, Balanced preset."
c7i.2xlarge,35-50%,Stay c7i.2xlarge ($0.34/h est.),"c7a.2xlarge (~$0.306/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
c7i.4xlarge,0-10%,c5.2xlarge ($0.34/h),c5a.2xlarge (~$0.306/h),~40%,~50% / ~55%,Downsize to C5/C5a for low U.
c7i.4xlarge,10-20%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40-60%,~50% / ~55%,Standard downsize to C5/C5a.
c7i.4xlarge,20-35%,c7i.2xlarge ($0.34/h),c7a.2xlarge (~$0.306/h),~60-70%,~50% / ~55%,1-step downsize.
c7i.4xlarge,35-50%,Stay c7i.4xlarge ($0.68/h est.),"c7a.4xlarge (~$0.612/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
c7i.8xlarge,0-10%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40%,~50% / ~55%,Downsize to C5/C5a for low U.
c7i.8xlarge,10-20%,c5.8xlarge ($1.53/h),c5a.8xlarge (~$1.224/h),~40-60%,~44% / ~55%,Standard downsize to C5/C5a.
c7i.8xlarge,20-35%,c7i.4xlarge ($0.68/h),c7a.4xlarge (~$0.612/h),~60-70%,~50% / ~55%,1-step downsize.
c7i.8xlarge,35-50%,Stay c7i.8xlarge ($1.36/h est.),"c7a.8xlarge (~$1.224/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
c7i.12xlarge,0-10%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40%,~67% / ~70%,Downsize to C5/C5a for low U.
c7i.12xlarge,10-20%,c5.9xlarge ($1.53/h),c5a.8xlarge (~$1.224/h),~40-60%,~50% / ~60%,Standard downsize to C5/C5a.
c7i.12xlarge,20-35%,c7i.9xlarge ($1.53/h est.),c7a.8xlarge (~$1.224/h),~60-70%,~25% / ~40%,"Nearest downsize, Balanced preset."
c7i.12xlarge,35-50%,Stay c7i.12xlarge ($2.04/h est.),"c7a.12xlarge (~$1.836/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
c7i.24xlarge,0-10%,c5.4xlarge ($0.68/h),c5a.4xlarge (~$0.612/h),~40%,~83% / ~85%,2-step downsize to C5/C5a for low U.
c7i.24xlarge,10-20%,c5.9xlarge ($1.53/h),c5a.8xlarge (~$1.224/h),~40-60%,~62% / ~70%,1.3-step downsize to C5/C5a.
c7i.24xlarge,20-35%,c7i.12xlarge ($2.04/h),c7a.12xlarge (~$1.836/h),~60-70%,~50% / ~55%,"1-step downsize, P95 threshold."
c7i.24xlarge,35-50%,Stay c7i.24xlarge ($4.08/h est.),"c7a.24xlarge (~$3.672/h, switch)",~50%,0% / ~10%,No downsize; AMD switch for CPU perf/cost.
"M Series (General Purpose) - M6i/M6a, M7i/M7a",,,,,,
m6i.large,0-10%,m5.large ($0.096/h),m6a.large (~$0.0864/h),~40%,0% / ~10%,"Switch to M5/M6a for low U savings, aggressive downsize."
m6i.large,10-20%,Stay m6i.large ($0.096/h est.),"m6a.large (~$0.0864/h, switch)",~40-60%,0% / ~10%,Stay or switch AMD for standard <40% U.
m6i.large,20-35%,Stay m6i.large ($0.096/h),"m6a.large (~$0.0864/h, switch)",~60-70%,0% / ~10%,Minimal for mid U; AMD switch.
m6i.large,35-50%,Stay m6i.large ($0.096/h),"m6a.large (~$0.0864/h, switch)",~50%,0% / ~10%,No downsize for critical; AMD switch.
m6i.xlarge,0-10%,m5.large ($0.096/h),m6a.large (~$0.0864/h),~40%,~50% / ~55%,Downsize to M5/M6a for low U.
m6i.xlarge,10-20%,m5.xlarge ($0.192/h),m6a.xlarge (~$0.1728/h),~40-60%,~50% / ~55%,Standard downsize to M5/M6a.
m6i.xlarge,20-35%,Stay m6i.xlarge ($0.192/h est.),"m6a.xlarge (~$0.1728/h, switch)",~60-70%,0% / ~10%,Minimal; stay or AMD switch.
m6i.xlarge,35-50%,Stay m6i.xlarge ($0.192/h),"m6a.xlarge (~$0.1728/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
m6i.2xlarge,0-10%,m5.xlarge ($0.192/h),m6a.xlarge (~$0.1728/h),~40%,~50% / ~55%,Downsize to M5/M6a for low U.
m6i.2xlarge,10-20%,m5.2xlarge ($0.384/h),m6a.2xlarge (~$0.3456/h),~40-60%,~50% / ~55%,Standard downsize to M5/M6a.
m6i.2xlarge,20-35%,m6i.xlarge ($0.192/h),m6a.xlarge (~$0.1728/h),~60-70%,~50% / ~55%,"1-step downsize, Balanced preset."
m6i.2xlarge,35-50%,Stay m6i.2xlarge ($0.384/h est.),"m6a.2xlarge (~$0.3456/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
m6i.4xlarge,0-10%,m5.2xlarge ($0.384/h),m6a.2xlarge (~$0.3456/h),~40%,~50% / ~55%,Downsize to M5/M6a for low U.
m6i.4xlarge,10-20%,m5.4xlarge ($0.768/h),m6a.4xlarge (~$0.6912/h),~40-60%,~50% / ~55%,Standard downsize to M5/M6a.
m6i.4xlarge,20-35%,m6i.2xlarge ($0.384/h),m6a.2xlarge (~$0.3456/h),~60-70%,~50% / ~55%,1-step downsize.
m6i.4xlarge,35-50%,Stay m6i.4xlarge ($0.768/h est.),"m6a.4xlarge (~$0.6912/h, switch)",~50%,0% / ~10%,No downsize; AMD switch.
m6i.8xlarge,0-10%,m5.4xlarge ($0.768/h),m6a.4xlarge (~$0.6912/h),~40%,~50% / ~55%,Downsize to M5/M6a for low U.
m6i.8xlarge,10-20%,m5.8xlarge ($1.536/h),m6a.8xlarge (~$1.3824/h),~40-60%,~50% / ~55%,Standard downsize to M5/M6a.
